number_nodes,loc_set_max,connection_level
9,2,1
9,2,1
9,2,1
9,2,1
9,2,1
9,2,2
9,2,2
9,2,2
9,2,2
9,2,2
9,2,3
9,2,3
9,2,3
9,2,3
9,2,3
10,2,1
10,2,1
10,2,1
10,2,1
10,2,1
10,2,2
10,2,2
10,2,2
10,2,2
10,2,2
10,2,3
10,2,3
10,2,3
10,2,3
10,2,3
11,2,1
11,2,1
11,2,1
11,2,1
11,2,1
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,3
11,2,3
11,2,3
11,2,3
11,2,3
12,2,1
12,2,1
12,2,1
12,2,1
12,2,1
12,2,2
12,2,2
12,2,2
12,2,2
12,2,2
12,2,3
12,2,3
12,2,3
12,2,3
12,2,3
13,2,1
13,2,1
13,2,1
13,2,1
13,2,1
13,2,2
13,2,2
13,2,2
13,2,2
13,2,2
13,2,3
13,2,3
13,2,3
13,2,3
13,2,3
14,2,1
14,2,1
14,2,1
14,2,1
14,2,1
14,2,2
14,2,2
14,2,2
14,2,2
14,2,2
14,2,3
14,2,3
14,2,3
14,2,3
14,2,3
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,2,3
15,2,3
15,2,3
15,2,3
15,2,3