V,Loc_max,Conn_Level,Connectivity,Running Time,,,,,
9,2,1,0.19608232,0.048393965,,,,,
9,2,1,0.62,0.029634953,,,V,Connectivity,Running Time
9,2,1,0.71843425,0.060323,,,9,0.68,2.5
9,2,1,0.06438,0.03552103,,,10,0.71,3.01
9,2,1,0.32938,0.034877062,,,11,0.75,2.93
9,2,2,0.47414912,0.032731295,,,12,0.68,3.75
9,2,2,1,0.057071924,,,13,0.6,3.23
9,2,2,0.4134,0.033173084,,,14,0.77,3.72
9,2,2,0.962963,0.043106079,,,15,0.7,4.58
9,2,2,0.8416,0.037358284,,,,,
9,2,3,0.9153271,0.034628868,,,,,
9,2,3,1,0.051043034,,,,,
9,2,3,0.980776094,0.034708977,,,,,
9,2,3,1,0.052688837,,,,,
9,2,3,0.65752384,0.039191961,,,,,
10,2,1,0.164373436,0.037425756,,,,,
10,2,1,0.4894823,0.048303843,,,,,
10,2,1,0.65216,0.031790018,,,,,
10,2,1,0.2695,0.029049873,,,,,
10,2,1,0.916251472,0.054453135,,,,,
10,2,2,1,0.077020168,,,,,
10,2,2,0.755056,0.054279804,,,,,
10,2,2,0.728851,0.051867008,,,,,
10,2,2,0.470061097,0.053143978,,,,,
10,2,2,1,0.06687212,,,,,
10,2,3,0.886363492,0.076078892,,,,,
10,2,3,0.57167728,0.043178082,,,,,
10,2,3,0.81890436,0.033311844,,,,,
10,2,3,1,0.053012371,,,,,
10,2,3,0.886579,0.042881012,,,,,
11,2,1,0.3744,0.018946886,,,,,
11,2,1,0.91795888,0.058559895,,,,,
11,2,1,0.81737596,0.056615114,,,,,
11,2,1,0.725767264,0.058513165,,,,,
11,2,1,0.7492,0.045550823,,,,,
11,2,2,0.44555,0.033369303,,,,,
11,2,2,0.50660704,0.029349089,,,,,
11,2,2,0.924709364,0.04158783,,,,,
11,2,2,1,0.071829081,,,,,
11,2,2,0.742619229,0.06889081,,,,,
11,2,3,0.18528264,0.0197649,,,,,
11,2,3,1,0.064053059,,,,,
11,2,3,0.9329338,0.046340704,,,,,
11,2,3,1,0.054641008,,,,,
11,2,3,0.923827131,0.063463926,,,,,
12,2,1,0.808,0.074707985,,,,,
12,2,1,0.9455869,0.055546999,,,,,
12,2,1,0.6771368,0.055650949,,,,,
12,2,1,0.643771871,0.073993921,,,,,
12,2,1,0.625122297,0.069603205,,,,,
12,2,2,0.09856,0.018069029,,,,,
12,2,2,0.1768785,0.032855034,,,,,
12,2,2,0.987917897,0.126719952,,,,,
12,2,2,0.962497594,0.099186182,,,,,
12,2,2,0.2264,0.031461954,,,,,
12,2,3,0.853174394,0.048541307,,,,,
12,2,3,0.926522801,0.061688185,,,,,
12,2,3,0.855191649,0.065393925,,,,,
12,2,3,0.387602701,0.039461136,,,,,
12,2,3,1,0.084961891,,,,,
13,2,1,0.580339245,0.054363966,,,,,
13,2,1,0.099015,0.037021875,,,,,
13,2,1,0.40603306,0.058218956,,,,,
13,2,1,0.2886,0.027895689,,,,,
13,2,1,0.294690442,0.069248199,,,,,
13,2,2,0.757916294,0.052388191,,,,,
13,2,2,0.953837282,0.049884796,,,,,
13,2,2,0.30992,0.038248062,,,,,
13,2,2,0.61037921,0.054992914,,,,,
13,2,2,0.847789115,0.057548761,,,,,
13,2,3,1,0.068503141,,,,,
13,2,3,0.542447128,0.033154964,,,,,
13,2,3,0.55458289,0.053173065,,,,,
13,2,3,0.964000639,0.080338717,,,,,
13,2,3,0.84544511,0.072701931,,,,,
14,2,1,0.9742654,0.058059931,,,,,
14,2,1,0.617980134,0.056652069,,,,,
14,2,1,0.61121986,0.029027939,,,,,
14,2,1,0.278233505,0.06093502,,,,,
14,2,1,0.3057085,0.061792135,,,,,
14,2,2,1,0.106014252,,,,,
14,2,2,0.5654266,0.045223951,,,,,
14,2,2,1,0.085163832,,,,,
14,2,2,0.761382438,0.080337048,,,,,
14,2,2,0.941099797,0.068747997,,,,,
14,2,3,0.999561481,0.099876165,,,,,
14,2,3,0.972691558,0.056659937,,,,,
14,2,3,0.740841056,0.039028883,,,,,
14,2,3,0.9040778,0.029744148,,,,,
14,2,3,0.852836139,0.053035021,,,,,
15,2,1,0.337597285,0.083205223,,,,,
15,2,1,0.56450248,0.065866947,,,,,
15,2,1,0.89162219,0.057283163,,,,,
15,2,1,0.579376795,0.102885962,,,,,
15,2,1,0.0212544,0.019414186,,,,,
15,2,2,1,0.110953093,,,,,
15,2,2,0.01975974,0.043414116,,,,,
15,2,2,0.985248987,0.091413021,,,,,
15,2,2,0.676725902,0.089090109,,,,,
15,2,2,0.6995904,0.054558992,,,,,
15,2,3,1,0.096022129,,,,,
15,2,3,1,0.085149765,,,,,
15,2,3,1,0.10373497,,,,,
15,2,3,0.69631811,0.084021091,,,,,
15,2,3,1,0.059118032,,,,,